family,family_label,x_position,block_start,block_end,block_center,threshold_value,threshold_unit,x_label,mean_feasible_ratio,mean_feasible_percent,std_feasible_ratio,std_feasible_percent,selected_hardness,label
pm,Phasenreserve PM,0,0,20,10.0,5.0,deg,5°,0.927,92.7,0.015947831618540905,1.5947831618540904,easy,pm>=5.0 deg
pm,Phasenreserve PM,1,0,20,10.0,7.0,deg,7°,0.7693333333333333,76.93333333333334,0.0268245327183076,2.68245327183076,,pm>=7.0 deg
pm,Phasenreserve PM,2,0,20,10.0,9.0,deg,9°,0.6333333333333333,63.33333333333333,0.030947985035827096,3.0947985035827097,,pm>=9.0 deg
pm,Phasenreserve PM,3,0,20,10.0,11.0,deg,11°,0.5183333333333333,51.83333333333333,0.03092104641035149,3.092104641035149,medium,pm>=11.0 deg
pm,Phasenreserve PM,4,0,20,10.0,13.0,deg,13°,0.44433333333333336,44.43333333333334,0.025562559426717132,2.5562559426717133,,pm>=13.0 deg
pm,Phasenreserve PM,5,0,20,10.0,15.0,deg,15°,0.38266666666666665,38.266666666666666,0.029657301892713636,2.9657301892713637,,pm>=15.0 deg
pm,Phasenreserve PM,6,0,20,10.0,17.0,deg,17°,0.3343333333333333,33.43333333333333,0.022163533613172387,2.2163533613172386,,pm>=17.0 deg
pm,Phasenreserve PM,7,0,20,10.0,19.0,deg,19°,0.299,29.9,0.023096416268426668,2.3096416268426667,,pm>=19.0 deg
pm,Phasenreserve PM,8,0,20,10.0,21.0,deg,21°,0.27666666666666667,27.666666666666668,0.02412928142780514,2.412928142780514,,pm>=21.0 deg
pm,Phasenreserve PM,9,0,20,10.0,23.0,deg,23°,0.25,25.0,0.025603819159562023,2.5603819159562025,,pm>=23.0 deg
pm,Phasenreserve PM,10,0,20,10.0,25.0,deg,25°,0.224,22.400000000000002,0.024531159323965466,2.4531159323965466,,pm>=25.0 deg
pm,Phasenreserve PM,11,0,20,10.0,27.0,deg,27°,0.20600000000000002,20.6,0.022350739485653616,2.2350739485653617,,pm>=27.0 deg
pm,Phasenreserve PM,12,0,20,10.0,29.0,deg,29°,0.17233333333333334,17.233333333333334,0.01994715240050291,1.9947152400502912,,pm>=29.0 deg
pm,Phasenreserve PM,13,0,20,10.0,31.0,deg,31°,0.15733333333333333,15.733333333333333,0.018306040290327976,1.8306040290327976,,pm>=31.0 deg
pm,Phasenreserve PM,14,0,20,10.0,33.0,deg,33°,0.13633333333333333,13.633333333333333,0.01940503943710385,1.9405039437103848,,pm>=33.0 deg
pm,Phasenreserve PM,15,0,20,10.0,35.0,deg,35°,0.12833333333333333,12.833333333333332,0.020936411663256275,2.0936411663256274,,pm>=35.0 deg
pm,Phasenreserve PM,16,0,20,10.0,37.0,deg,37°,0.121,12.1,0.017953644012660308,1.7953644012660308,,pm>=37.0 deg
pm,Phasenreserve PM,17,0,20,10.0,39.0,deg,39°,0.10566666666666666,10.566666666666666,0.01832120811154839,1.832120811154839,hard,pm>=39.0 deg
pm,Phasenreserve PM,18,0,20,10.0,41.0,deg,41°,0.08833333333333333,8.833333333333334,0.018333333333333337,1.8333333333333337,,pm>=41.0 deg
pm,Phasenreserve PM,19,0,20,10.0,43.0,deg,43°,0.075,7.5,0.014083086782851736,1.4083086782851737,,pm>=43.0 deg
pm,Phasenreserve PM,20,0,20,10.0,45.0,deg,45°,0.06233333333333334,6.233333333333333,0.010754843869934453,1.0754843869934452,,pm>=45.0 deg
gm,Amplitudenreserve GM,23,23,43,33.0,0.0,dB,0 dB,0.9996666666666667,99.96666666666667,0.0009999999999999898,0.09999999999999898,,gm>=0.0 dB
gm,Amplitudenreserve GM,24,23,43,33.0,1.5,dB,1.50 dB,0.9733333333333334,97.33333333333334,0.010219806477837266,1.0219806477837265,,gm>=1.5 dB
gm,Amplitudenreserve GM,25,23,43,33.0,3.0,dB,3 dB,0.9763333333333333,97.63333333333333,0.007951240294584373,0.7951240294584373,,gm>=3.0 dB
gm,Amplitudenreserve GM,26,23,43,33.0,4.5,dB,4.50 dB,0.9746666666666667,97.46666666666667,0.009797958971132708,0.9797958971132708,,gm>=4.5 dB
gm,Amplitudenreserve GM,27,23,43,33.0,6.0,dB,6 dB,0.9746666666666667,97.46666666666667,0.009683892697555964,0.9683892697555964,,gm>=6.0 dB
gm,Amplitudenreserve GM,28,23,43,33.0,7.5,dB,7.50 dB,0.9683333333333334,96.83333333333334,0.013763881881375048,1.3763881881375049,,gm>=7.5 dB
gm,Amplitudenreserve GM,29,23,43,33.0,9.0,dB,9 dB,0.974,97.39999999999999,0.012631530214330935,1.2631530214330935,,gm>=9.0 dB
gm,Amplitudenreserve GM,30,23,43,33.0,10.5,dB,10.50 dB,0.9696666666666667,96.96666666666667,0.012512216252748964,1.2512216252748964,,gm>=10.5 dB
gm,Amplitudenreserve GM,31,23,43,33.0,12.0,dB,12 dB,0.9716666666666667,97.16666666666667,0.012931443160847204,1.2931443160847205,,gm>=12.0 dB
gm,Amplitudenreserve GM,32,23,43,33.0,13.5,dB,13.50 dB,0.9676666666666667,96.76666666666667,0.011259563836036343,1.1259563836036344,,gm>=13.5 dB
gm,Amplitudenreserve GM,33,23,43,33.0,15.0,dB,15 dB,0.9713333333333334,97.13333333333334,0.01175679472569891,1.175679472569891,,gm>=15.0 dB
gm,Amplitudenreserve GM,34,23,43,33.0,16.5,dB,16.50 dB,0.9693333333333334,96.93333333333334,0.010519822558706319,1.051982255870632,,gm>=16.5 dB
gm,Amplitudenreserve GM,35,23,43,33.0,18.0,dB,18 dB,0.9666666666666667,96.66666666666667,0.014452988925785865,1.4452988925785863,,gm>=18.0 dB
gm,Amplitudenreserve GM,36,23,43,33.0,19.5,dB,19.50 dB,0.973,97.3,0.005859465277082304,0.5859465277082304,,gm>=19.5 dB
gm,Amplitudenreserve GM,37,23,43,33.0,21.0,dB,21 dB,0.9653333333333334,96.53333333333333,0.014391355429948606,1.4391355429948607,hard,gm>=21.0 dB
gm,Amplitudenreserve GM,38,23,43,33.0,22.5,dB,22.50 dB,0.9726666666666667,97.26666666666667,0.005925462944877048,0.5925462944877048,,gm>=22.5 dB
gm,Amplitudenreserve GM,39,23,43,33.0,24.0,dB,24 dB,0.9673333333333334,96.73333333333333,0.013968217893171316,1.3968217893171315,,gm>=24.0 dB
gm,Amplitudenreserve GM,40,23,43,33.0,25.5,dB,25.50 dB,0.9743333333333333,97.43333333333332,0.006506407098647715,0.6506407098647715,,gm>=25.5 dB
gm,Amplitudenreserve GM,41,23,43,33.0,27.0,dB,27 dB,0.9663333333333334,96.63333333333334,0.012862520921049832,1.2862520921049831,,gm>=27.0 dB
gm,Amplitudenreserve GM,42,23,43,33.0,28.5,dB,28.50 dB,0.9733333333333334,97.33333333333334,0.005773502691896269,0.577350269189627,,gm>=28.5 dB
gm,Amplitudenreserve GM,43,23,43,33.0,30.0,dB,30 dB,0.972,97.2,0.007630348761506388,0.7630348761506388,,gm>=30.0 dB
ms,Stabilität Ms,46,46,74,60.0,24.0,dB,24 dB,0.983,98.3,0.004068851871911232,0.40688518719112315,,Ms<=24.0 dB
ms,Stabilität Ms,47,46,74,60.0,23.25,dB,23.25 dB,0.98,98.0,0.00802772971919486,0.802772971919486,,Ms<=23.2 dB
ms,Stabilität Ms,48,46,74,60.0,22.5,dB,22.50 dB,0.978,97.8,0.006863753427324656,0.6863753427324656,,Ms<=22.5 dB
ms,Stabilität Ms,49,46,74,60.0,21.75,dB,21.75 dB,0.9656666666666667,96.56666666666666,0.0117426099692057,1.17426099692057,,Ms<=21.8 dB
ms,Stabilität Ms,50,46,74,60.0,21.0,dB,21 dB,0.9483333333333334,94.83333333333334,0.009916316520429003,0.9916316520429004,,Ms<=21.0 dB
ms,Stabilität Ms,51,46,74,60.0,20.25,dB,20.25 dB,0.909,90.9,0.01862197029795123,1.8621970297951231,easy,Ms<=20.2 dB
ms,Stabilität Ms,52,46,74,60.0,19.5,dB,19.50 dB,0.8726666666666667,87.26666666666667,0.024935472279020054,2.4935472279020052,,Ms<=19.5 dB
ms,Stabilität Ms,53,46,74,60.0,18.75,dB,18.75 dB,0.8283333333333334,82.83333333333334,0.023863035105460603,2.3863035105460604,,Ms<=18.8 dB
ms,Stabilität Ms,54,46,74,60.0,18.0,dB,18 dB,0.769,76.9,0.024360715187457947,2.436071518745795,,Ms<=18.0 dB
ms,Stabilität Ms,55,46,74,60.0,17.25,dB,17.25 dB,0.742,74.2,0.03458323293158116,3.4583232931581156,,Ms<=17.2 dB
ms,Stabilität Ms,56,46,74,60.0,16.5,dB,16.50 dB,0.659,65.9,0.02607893999209151,2.6078939992091508,,Ms<=16.5 dB
ms,Stabilität Ms,57,46,74,60.0,15.75,dB,15.75 dB,0.615,61.5,0.022223611067711046,2.2223611067711047,,Ms<=15.8 dB
ms,Stabilität Ms,58,46,74,60.0,15.0,dB,15 dB,0.5643333333333334,56.43333333333334,0.02645961282995485,2.6459612829954846,,Ms<=15.0 dB
ms,Stabilität Ms,59,46,74,60.0,14.25,dB,14.25 dB,0.538,53.800000000000004,0.041904653679513904,4.19046536795139,medium,Ms<=14.2 dB
ms,Stabilität Ms,60,46,74,60.0,13.5,dB,13.50 dB,0.45266666666666666,45.266666666666666,0.034858443899736975,3.4858443899736975,,Ms<=13.5 dB
ms,Stabilität Ms,61,46,74,60.0,12.75,dB,12.75 dB,0.44033333333333335,44.03333333333334,0.019745604292826513,1.9745604292826513,,Ms<=12.8 dB
ms,Stabilität Ms,62,46,74,60.0,12.0,dB,12 dB,0.395,39.5,0.027049337638224466,2.7049337638224467,,Ms<=12.0 dB
ms,Stabilität Ms,63,46,74,60.0,11.25,dB,11.25 dB,0.37733333333333335,37.733333333333334,0.026364959911046915,2.6364959911046917,,Ms<=11.2 dB
ms,Stabilität Ms,64,46,74,60.0,10.5,dB,10.50 dB,0.30766666666666664,30.766666666666666,0.024315061633115847,2.431506163311585,,Ms<=10.5 dB
ms,Stabilität Ms,65,46,74,60.0,9.75,dB,9.75 dB,0.279,27.900000000000002,0.01498517786199268,1.498517786199268,,Ms<=9.8 dB
ms,Stabilität Ms,66,46,74,60.0,9.0,dB,9 dB,0.273,27.3,0.023259406699226014,2.3259406699226015,,Ms<=9.0 dB
ms,Stabilität Ms,67,46,74,60.0,8.25,dB,8.25 dB,0.23633333333333334,23.633333333333333,0.024605780711947436,2.4605780711947434,,Ms<=8.2 dB
ms,Stabilität Ms,68,46,74,60.0,7.5,dB,7.50 dB,0.19133333333333333,19.133333333333333,0.029896116433038213,2.9896116433038213,,Ms<=7.5 dB
ms,Stabilität Ms,69,46,74,60.0,6.75,dB,6.75 dB,0.181,18.099999999999998,0.017451520150277903,1.7451520150277904,,Ms<=6.8 dB
ms,Stabilität Ms,70,46,74,60.0,6.0,dB,6 dB,0.14766666666666667,14.766666666666667,0.014910846164230029,1.491084616423003,,Ms<=6.0 dB
ms,Stabilität Ms,71,46,74,60.0,5.25,dB,5.25 dB,0.12866666666666668,12.866666666666667,0.022320892057044274,2.2320892057044275,,Ms<=5.2 dB
ms,Stabilität Ms,72,46,74,60.0,4.5,dB,4.50 dB,0.098,9.8,0.021197484127446195,2.1197484127446193,hard,Ms<=4.5 dB
ms,Stabilität Ms,73,46,74,60.0,3.75,dB,3.75 dB,0.07766666666666666,7.766666666666666,0.01398809017223819,1.398809017223819,,Ms<=3.8 dB
ms,Stabilität Ms,74,46,74,60.0,3.0,dB,3 dB,0.043333333333333335,4.333333333333334,0.012909944487358056,1.2909944487358056,,Ms<=3.0 dB
