x_position,x_label,pm_threshold_value,pm_label,pm_mean_feasible_ratio,pm_std_feasible_ratio,ms_threshold_value,ms_label,ms_mean_feasible_ratio,ms_std_feasible_ratio,overshoot_threshold_value,overshoot_label,overshoot_mean_feasible_ratio,overshoot_std_feasible_ratio,du_dt_threshold_value,du_dt_label,du_dt_mean_feasible_ratio,du_dt_std_feasible_ratio
0,"PM 0°
Ms 24 dB
ÜS 90 %
du/dt 500",0.0,0°,0.9996666666666667,0.0009999999999999898,24.0,24 dB,0.983,0.004068851871911232,90.0,90 %,0.9786666666666667,0.0076303487615064095,500.0,500,0.9723333333333333,0.007310570733153767
1,"PM 3°
Ms 22.74 dB
ÜS 85.5 %
du/dt 474",3.1578947368421053,3°,0.9736666666666667,0.009712534856222307,22.736842105263158,22.74 dB,0.981,0.007608474807008891,85.52631578947368,85.5 %,0.967,0.00948097510221858,473.7368421052632,474,0.961,0.009433981132056605
2,"PM 6°
Ms 21.47 dB
ÜS 81.1 %
du/dt 447",6.315789473684211,6°,0.8173333333333334,0.01896195020443719,21.473684210526315,21.47 dB,0.962,0.011075498483890752,81.05263157894737,81.1 %,0.875,0.024232668491567792,447.4736842105263,447,0.9653333333333334,0.012840906856172146
3,"PM 9°
Ms 20.21 dB
ÜS 76.6 %
du/dt 421",9.473684210526315,9°,0.6006666666666667,0.01436043948569202,20.210526315789473,20.21 dB,0.909,0.017578395831246964,76.57894736842105,76.6 %,0.7333333333333334,0.032041639575194444,421.2105263157895,421,0.9623333333333334,0.006839428176227728
4,"PM 13°
Ms 18.95 dB
ÜS 72.1 %
du/dt 395",12.631578947368421,13°,0.4573333333333333,0.021643577440997232,18.94736842105263,18.95 dB,0.8396666666666667,0.025579940057266222,72.10526315789474,72.1 %,0.643,0.021000000000000005,394.9473684210526,395,0.9283333333333333,0.013519533193782164
5,"PM 16°
Ms 17.68 dB
ÜS 67.6 %
du/dt 369",15.789473684210527,16°,0.38466666666666666,0.02993325909419153,17.684210526315788,17.68 dB,0.7546666666666666,0.03360555509634282,67.63157894736842,67.6 %,0.5443333333333333,0.038988602323129146,368.6842105263158,369,0.8926666666666667,0.01466666666666666
6,"PM 19°
Ms 16.42 dB
ÜS 63.2 %
du/dt 342",18.94736842105263,19°,0.30333333333333334,0.020869967789998035,16.42105263157895,16.42 dB,0.6646666666666666,0.02486407493196202,63.1578947368421,63.2 %,0.4716666666666667,0.028489764243788795,342.42105263157896,342,0.8506666666666667,0.020264912204760885
7,"PM 22°
Ms 15.16 dB
ÜS 58.7 %
du/dt 316",22.105263157894736,22°,0.24666666666666667,0.03022140521771503,15.157894736842106,15.16 dB,0.5853333333333334,0.015577761927397224,58.68421052631579,58.7 %,0.419,0.024269322199023183,316.1578947368421,316,0.8086666666666666,0.03169998247458332
8,"PM 25°
Ms 13.89 dB
ÜS 54.2 %
du/dt 290",25.263157894736842,25°,0.20533333333333334,0.021145002036204938,13.894736842105264,13.89 dB,0.5103333333333333,0.0192324956490022,54.21052631578947,54.2 %,0.358,0.020396078054371148,289.89473684210526,290,0.766,0.01331665623695877
9,"PM 28°
Ms 12.63 dB
ÜS 49.7 %
du/dt 264",28.42105263157895,28°,0.17766666666666667,0.023383279876394113,12.631578947368421,12.63 dB,0.429,0.027810869178154878,49.73684210526316,49.7 %,0.31666666666666665,0.03657564459825386,263.63157894736844,264,0.7236666666666667,0.02527405344968983
