family,order_value,label,batches,particles_per_batch,mean_feasible_ratio,std_feasible_ratio,mean_infeasible_violation_median,mean_feasible_perf_median,use_freq_metrics,pm_min_deg,gm_min_db,ms_max_db,use_overshoot_control,use_max_du_dt_constraint,allowed_overshoot_pct,allowed_max_du_dt,du_dt_window_steps,hardness,target_feasible_ratio,target_distance
pm,12.631578947368421,pm>=12.6 deg,10,300,0.4573333333333333,0.021643577440997232,0.41392361434026814,5.796524590347916,True,12.631578947368421,0.0,,False,False,,,,easy,0.5,0.042666666666666686
pm,25.263157894736842,pm>=25.3 deg,10,300,0.20533333333333334,0.021145002036204938,0.6254574690929541,6.938093559145054,True,25.263157894736842,0.0,,False,False,,,,medium,0.2,0.005333333333333329
pm,47.36842105263158,pm>=47.4 deg,10,300,0.042666666666666665,0.011623730516108462,0.7705284443915177,22.84571170932241,True,47.36842105263158,0.0,,False,False,,,,hard,0.05,0.0073333333333333375
ms,-13.894736842105264,Ms<=13.9 dB,10,300,0.5103333333333333,0.0192324956490022,0.2826446813664115,5.65379843309542,True,0.0,0.0,13.894736842105264,False,False,,,,easy,0.5,0.010333333333333306
ms,-7.578947368421055,Ms<=7.6 dB,10,300,0.20266666666666666,0.025854292572887086,1.0372339911508968,6.238076933826566,True,0.0,0.0,7.578947368421055,False,False,,,,medium,0.2,0.0026666666666666505
ms,-2.526315789473685,Ms<=2.5 dB,10,300,0.022,0.00541602560309064,4.6169538108624195,34.972777905711524,True,0.0,0.0,2.526315789473685,False,False,,,,hard,0.05,0.028000000000000004
overshoot,-63.1578947368421,overshoot<=63.2 %,10,300,0.4716666666666667,0.028489764243788795,0.20293220774941587,6.770812605832148,False,0.0,0.0,,True,False,63.1578947368421,,,easy,0.5,0.02833333333333332
overshoot,-31.84210526315789,overshoot<=31.8 %,10,300,0.203,0.017854348987789443,1.205713284469371,11.51729144009728,False,0.0,0.0,,True,False,31.84210526315789,,,medium,0.2,0.0030000000000000027
overshoot,-5.0,overshoot<=5 %,10,300,0.06533333333333333,0.011175369742826805,12.272980817144104,25.653322207648955,False,0.0,0.0,,True,False,5.0,,,hard,0.05,0.015333333333333324
du_dt,-158.57894736842104,du/dt<=158.6,10,300,0.49866666666666665,0.026964997888208907,0.8213560144622521,7.514577381155609,False,0.0,0.0,,False,True,,158.57894736842104,10,easy,0.5,0.001333333333333353
du_dt,-53.5263157894737,du/dt<=53.53,10,300,0.24133333333333334,0.024549270186029287,3.0370137793642296,11.575259031011802,False,0.0,0.0,,False,True,,53.5263157894737,10,medium,0.2,0.04133333333333333
du_dt,-1.0,du/dt<=1,10,300,0.015333333333333334,0.003711842908553348,158.453255173568,38.670987227332446,False,0.0,0.0,,False,True,,1.0,10,hard,0.05,0.034666666666666665
