config_id,family,hardness,threshold_value,threshold_unit,use_freq_metrics,pm_min_deg,gm_min_db,ms_max_db,use_overshoot_control,allowed_overshoot_pct,use_max_du_dt_constraint,allowed_max_du_dt,du_dt_window_steps,num_runs,base_seed,swarm_size,max_iter
pm_easy,pm,easy,5.0,deg,1,5.0,0.0,,0,0.0,0,0.0,10,100,20260413,40,100
pm_medium,pm,medium,11.0,deg,1,11.0,0.0,,0,0.0,0,0.0,10,100,20260413,40,100
pm_hard,pm,hard,39.0,deg,1,39.0,0.0,,0,0.0,0,0.0,10,100,20260413,40,100
ms_easy,ms,easy,20.2,dB,1,0.0,0.0,20.2,0,0.0,0,0.0,10,100,20260413,40,100
ms_medium,ms,medium,14.25,dB,1,0.0,0.0,14.25,0,0.0,0,0.0,10,100,20260413,40,100
ms_hard,ms,hard,4.5,dB,1,0.0,0.0,4.5,0,0.0,0,0.0,10,100,20260413,40,100
overshoot_easy,overshoot,easy,82.0,%,0,0.0,0.0,,1,82.0,0,0.0,10,100,20260413,40,100
overshoot_medium,overshoot,medium,62.8,%,0,0.0,0.0,,1,62.8,0,0.0,10,100,20260413,40,100
overshoot_hard,overshoot,hard,18.8,%,0,0.0,0.0,,1,18.8,0,0.0,10,100,20260413,40,100
du_dt_easy,du_dt,easy,400.0,1/s,0,0.0,0.0,,0,0.0,1,400.0,10,100,20260413,40,100
du_dt_medium,du_dt,medium,140,1/s,0,0.0,0.0,,0,0.0,1,140,10,100,20260413,40,100
du_dt_hard,du_dt,hard,11,1/s,0,0.0,0.0,,0,0.0,1,11,10,100,20260413,40,100
